
2025/03/27 (22:12:44) | ===> btop++ v.1.4.0
2025/03/27 (22:12:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/27 (22:16:13) | ===> btop++ v.1.4.0
2025/03/27 (22:16:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/27 (22:27:45) | ===> btop++ v.1.4.0
2025/03/27 (22:27:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/27 (22:50:19) | ===> btop++ v.1.4.0
2025/03/27 (22:50:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/27 (22:56:08) | ===> btop++ v.1.4.0
2025/03/27 (22:56:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/28 (14:01:04) | ===> btop++ v.1.4.0
2025/03/28 (14:01:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/28 (14:01:07) | ===> btop++ v.1.4.0
2025/03/28 (14:01:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/28 (14:37:39) | ===> btop++ v.1.4.0
2025/03/28 (14:37:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/30 (18:08:50) | ===> btop++ v.1.4.0
2025/03/30 (18:08:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/30 (21:40:34) | ===> btop++ v.1.4.0
2025/03/30 (21:40:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (16:27:13) | ===> btop++ v.1.4.0
2025/04/01 (16:27:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (22:18:52) | ===> btop++ v.1.4.0
2025/04/01 (22:18:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (23:46:33) | ===> btop++ v.1.4.0
2025/04/01 (23:46:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (23:54:48) | ===> btop++ v.1.4.0
2025/04/01 (23:54:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/03 (14:03:33) | ===> btop++ v.1.4.0
2025/04/03 (14:03:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/03 (22:57:58) | ===> btop++ v.1.4.0
2025/04/03 (22:57:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/05 (22:19:14) | ===> btop++ v.1.4.0
2025/04/05 (22:19:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/06 (21:53:26) | ===> btop++ v.1.4.0
2025/04/06 (21:53:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/07 (08:12:09) | ===> btop++ v.1.4.0
2025/04/07 (08:12:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/08 (16:03:58) | ===> btop++ v.1.4.0
2025/04/08 (16:03:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/16 (09:07:32) | ===> btop++ v.1.4.0
2025/04/16 (09:07:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/17 (10:36:26) | ===> btop++ v.1.4.0
2025/04/17 (10:36:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/19 (22:30:12) | ===> btop++ v.1.4.0
2025/04/19 (22:30:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/21 (20:06:09) | ===> btop++ v.1.4.0
2025/04/21 (20:06:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/22 (13:27:04) | ===> btop++ v.1.4.0
2025/04/22 (13:27:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/23 (16:37:34) | ===> btop++ v.1.4.0
2025/04/23 (16:37:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/24 (09:17:25) | ===> btop++ v.1.4.0
2025/04/24 (09:17:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/24 (10:56:19) | ===> btop++ v.1.4.0
2025/04/24 (10:56:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/24 (10:56:41) | ===> btop++ v.1.4.0
2025/04/24 (10:56:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/25 (14:56:31) | ===> btop++ v.1.4.0
2025/04/25 (14:56:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/25 (15:00:02) | ===> btop++ v.1.4.0
2025/04/25 (15:00:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/04/25 (15:00:34) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (22:31:01) | ===> btop++ v.1.4.0
2025/04/25 (22:31:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/03 (20:45:09) | ===> btop++ v.1.4.0
2025/05/03 (20:45:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
